AwardID,teams,hub,site,node,AwardTitle,Agency,AwardEffectiveDate,AwardExpirationDate,AwardTotalIntnAmount,AwardAmount,AwardInstrument,Organization_Code,Directorate_Abbreviation,Directorate_LongName,Division_Abbreviation,Division_LongName,Year,sbir,sbir_1,sbir_2,sttr,sttr_1,sttr_2
1643287,,,,1,I-Corps Node:  Upstate NY Alliance for Entrepreneurial Innovation,NSF,10/1/16,9/30/23,4200000,6378790,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1304387,,,,1,"I-Corps Node: DC, Maryland, Virginia Region",NSF,3/1/13,2/28/19,3637996,4489762,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2013,0,0,0,0,0,0
1643018,,,,1,I-Corps Node: For the District of Columbia / Maryland / Virginia (DMV) Region,NSF,9/15/16,2/28/22,3448944,5965062,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1643289,,,,1,I-Corps Node: I-Corps South,NSF,8/15/16,6/30/24,3450000,5099241,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1832931,,,,1,I-Corps Node: New England Regional Innovation Node (NERIN),NSF,8/1/18,7/31/25,4200000,5717742,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2018,0,0,0,0,0,0
1305023,,,,1,I-Corps Node: New York City Regional Innovation Node (NYCRIN),NSF,3/1/13,1/31/19,3629089,5078337,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2013,0,0,0,0,0,0
1643295,,,,1,I-Corps Node: NSF Bay Area Regional I-Node Program,NSF,10/1/16,6/30/23,3450000,4958906,Cooperative Agreement,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
1305078,,,,1,I-Corps Node: NSF Bay Area Regional I-Node Program,NSF,3/1/13,2/28/18,3750000,4414947,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2013,0,0,0,0,0,0
1844816,,,1,,I-Corps Program Neomur,NSF,9/15/18,12/31/19,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2018,0,0,0,0,0,0
1347164,,,1,,"I-Corps Site at Carnegie Mellon University: A Model Promoting University Innovation, Entrepreneurship, and Regional Growth",NSF,5/1/14,8/31/20,299110,299110,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2013,0,0,0,0,0,0
1450424,,,1,,I-Corps Site:  Oregon State University Advantage Accelerator Program Enhancements Toward an NSF I-Corps Site,NSF,3/15/15,8/31/22,300000,468965,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2014,0,0,0,0,0,0
1346780,,,1,,I-Corps Site: A Biological Sciences Site for the California State University,NSF,5/1/14,4/30/18,300000,330000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2013,0,0,0,0,0,0
1450182,,,1,,I-Corps Site: New Jersey Institute of Technology,NSF,3/15/15,2/28/22,300000,439914,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2014,0,0,0,0,0,0
1322061,,,1,,I-Corps Site: University of Akron Technology Innovation and Entrepreneurial Preparation Grant,NSF,7/1/13,6/30/17,300000,300000,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2013,0,0,0,0,0,0
